Starting code formatting
Formatting C files ...
Formatting [1/1296] results/accepted_code/codegeex4-bit_ops-cpp-c.c
Formatting [2/1296] results/accepted_code/codegeex4-bit_ops-go-c.c
Formatting [3/1296] results/accepted_code/codegeex4-bit_ops-java-c.c
Formatting [4/1296] results/accepted_code/codegeex4-bit_ops-js-c.c
Formatting [5/1296] results/accepted_code/codegeex4-bit_ops-py-c.c
Formatting [6/1296] results/accepted_code/codegeex4-bit_ops-rs-c.c
Formatting [7/1296] results/accepted_code/codegeex4-dir_make-cpp-c.c
Formatting [8/1296] results/accepted_code/codegeex4-dir_make-go-c.c
Formatting [9/1296] results/accepted_code/codegeex4-dir_make-java-c.c
Formatting [10/1296] results/accepted_code/codegeex4-dir_make-js-c.c
Formatting [11/1296] results/accepted_code/codegeex4-dir_make-py-c.c
Formatting [12/1296] results/accepted_code/codegeex4-dir_make-rs-c.c
Formatting [13/1296] results/accepted_code/codegeex4-file_create-cpp-c.c
Formatting [14/1296] results/accepted_code/codegeex4-file_create-go-c.c
Formatting [15/1296] results/accepted_code/codegeex4-file_create-java-c.c
Formatting [16/1296] results/accepted_code/codegeex4-file_create-js-c.c
Formatting [17/1296] results/accepted_code/codegeex4-file_create-py-c.c
Formatting [18/1296] results/accepted_code/codegeex4-file_create-rs-c.c
Formatting [19/1296] results/accepted_code/codegeex4-file_exists-cpp-c.c
Formatting [20/1296] results/accepted_code/codegeex4-file_exists-go-c.c
Formatting [21/1296] results/accepted_code/codegeex4-file_exists-java-c.c
Formatting [22/1296] results/accepted_code/codegeex4-file_exists-js-c.c
Formatting [23/1296] results/accepted_code/codegeex4-file_exists-py-c.c
Formatting [24/1296] results/accepted_code/codegeex4-file_exists-rs-c.c
Formatting [25/1296] results/accepted_code/codegeex4-file_rename-cpp-c.c
Formatting [26/1296] results/accepted_code/codegeex4-file_rename-go-c.c
Formatting [27/1296] results/accepted_code/codegeex4-file_rename-java-c.c
Formatting [28/1296] results/accepted_code/codegeex4-file_rename-js-c.c
Formatting [29/1296] results/accepted_code/codegeex4-file_rename-py-c.c
Formatting [30/1296] results/accepted_code/codegeex4-file_rename-rs-c.c
Formatting [31/1296] results/accepted_code/codegeex4-file_size-cpp-c.c
Formatting [32/1296] results/accepted_code/codegeex4-file_size-go-c.c
Formatting [33/1296] results/accepted_code/codegeex4-file_size-java-c.c
Formatting [34/1296] results/accepted_code/codegeex4-file_size-js-c.c
Formatting [35/1296] results/accepted_code/codegeex4-file_size-py-c.c
Formatting [36/1296] results/accepted_code/codegeex4-file_size-rs-c.c
Formatting [37/1296] results/accepted_code/codegeex4-int_arith-cpp-c.c
Formatting [38/1296] results/accepted_code/codegeex4-int_arith-go-c.c
Formatting [39/1296] results/accepted_code/codegeex4-int_arith-java-c.c
Formatting [40/1296] results/accepted_code/codegeex4-int_arith-js-c.c
Formatting [41/1296] results/accepted_code/codegeex4-int_arith-py-c.c
Formatting [42/1296] results/accepted_code/codegeex4-int_arith-rs-c.c
Formatting [43/1296] results/accepted_code/codegeex4-int_cmp-cpp-c.c
Formatting [44/1296] results/accepted_code/codegeex4-int_cmp-go-c.c
Formatting [45/1296] results/accepted_code/codegeex4-int_cmp-java-c.c
Formatting [46/1296] results/accepted_code/codegeex4-int_cmp-js-c.c
Formatting [47/1296] results/accepted_code/codegeex4-int_cmp-py-c.c
Formatting [48/1296] results/accepted_code/codegeex4-int_cmp-rs-c.c
Formatting [49/1296] results/accepted_code/codegeex4-int_factors-cpp-c.c
Formatting [50/1296] results/accepted_code/codegeex4-int_factors-go-c.c
Formatting [51/1296] results/accepted_code/codegeex4-int_factors-java-c.c
Formatting [52/1296] results/accepted_code/codegeex4-int_factors-js-c.c
Formatting [53/1296] results/accepted_code/codegeex4-int_factors-py-c.c
Formatting [54/1296] results/accepted_code/codegeex4-int_factors-rs-c.c
Formatting [55/1296] results/accepted_code/codegeex4-logic_ops-cpp-c.c
Formatting [56/1296] results/accepted_code/codegeex4-logic_ops-go-c.c
Formatting [57/1296] results/accepted_code/codegeex4-logic_ops-java-c.c
Formatting [58/1296] results/accepted_code/codegeex4-logic_ops-js-c.c
Formatting [59/1296] results/accepted_code/codegeex4-logic_ops-py-c.c
Formatting [60/1296] results/accepted_code/codegeex4-logic_ops-rs-c.c
Formatting [61/1296] results/accepted_code/codegeex4-str_append-cpp-c.c
Formatting [62/1296] results/accepted_code/codegeex4-str_append-go-c.c
Formatting [63/1296] results/accepted_code/codegeex4-str_append-java-c.c
Formatting [64/1296] results/accepted_code/codegeex4-str_append-js-c.c
Formatting [65/1296] results/accepted_code/codegeex4-str_append-py-c.c
Formatting [66/1296] results/accepted_code/codegeex4-str_append-rs-c.c
Formatting [67/1296] results/accepted_code/codegeex4-str_cmp-cpp-c.c
Formatting [68/1296] results/accepted_code/codegeex4-str_cmp-go-c.c
Formatting [69/1296] results/accepted_code/codegeex4-str_cmp-java-c.c
Formatting [70/1296] results/accepted_code/codegeex4-str_cmp-js-c.c
Formatting [71/1296] results/accepted_code/codegeex4-str_cmp-py-c.c
Formatting [72/1296] results/accepted_code/codegeex4-str_cmp-rs-c.c
Formatting [73/1296] results/accepted_code/codegeex4-str_concat-cpp-c.c
Formatting [74/1296] results/accepted_code/codegeex4-str_concat-go-c.c
Formatting [75/1296] results/accepted_code/codegeex4-str_concat-java-c.c
Formatting [76/1296] results/accepted_code/codegeex4-str_concat-js-c.c
Formatting [77/1296] results/accepted_code/codegeex4-str_concat-py-c.c
Formatting [78/1296] results/accepted_code/codegeex4-str_concat-rs-c.c
Formatting [79/1296] results/accepted_code/codegeex4-str_interp-cpp-c.c
Formatting [80/1296] results/accepted_code/codegeex4-str_interp-go-c.c
Formatting [81/1296] results/accepted_code/codegeex4-str_interp-java-c.c
Formatting [82/1296] results/accepted_code/codegeex4-str_interp-js-c.c
Formatting [83/1296] results/accepted_code/codegeex4-str_interp-py-c.c
Formatting [84/1296] results/accepted_code/codegeex4-str_interp-rs-c.c
Formatting [85/1296] results/accepted_code/codegeex4-str_match-cpp-c.c
Formatting [86/1296] results/accepted_code/codegeex4-str_match-go-c.c
