model,success,valid
qwen2.5coder7b,0.31092436974789917,0.17787114845938376
qwen2.5coder2b,0.39775910364145656,0.13865546218487396
codellama7b,0.4019607843137255,0.12464985994397759
granitecode3b,0.5196078431372549,0.09243697478991597
deepseekcoder7b,0.3081232492997199,0.14145658263305322
granitecode8b,0.49159663865546216,0.08823529411764706
dolphincoder7b,0.35014005602240894,0.11764705882352941
magicoder7b,0.28851540616246496,0.11904761904761904
codegemma7b,0.3851540616246499,0.08263305322128851
codeqwen,0.2689075630252101,0.10364145658263306
stablecode,0.7703081232492998,0.03361344537815126
codegeex4,0.19887955182072828,0.10224089635854341
yicoder9b,0.19047619047619047,0.09803921568627451
yicoder2b,0.31932773109243695,0.05742296918767507
deepseekcoderv2,0.12324929971988796,0.05182072829131653
