model,task,success,valid,bleu,meteor,rouge1,rouge2,rougeL,rougeLsum,chrF,ter,wer
yicoder9b,logic_ops,1.0,1.0,0.4424932761004667,0.6733013603593077,0.5049081393492639,0.3322635534107847,0.49195205724544194,0.5037743525011914,53.92855378601129,97.41140708310789,0.9962484137996442
yicoder9b,str_append,1.0,1.0,0.24854650761588695,0.4746236354788276,0.40628895139888116,0.24721827691673567,0.3993160592245679,0.4033100405362905,37.60097790122844,103.1573339806008,1.1369321922317315
codeqwen,str_append,1.0,0.9761904761904762,0.2084945967741583,0.4594490103844898,0.3756084837221119,0.2209339288905031,0.3708393489707739,0.37321010143332567,35.017510030801425,119.61029604149351,1.3217065320751957
yicoder9b,int_cmp,1.0,0.9761904761904762,0.26343405793500263,0.4905019200870271,0.4474059546981948,0.26080207914418535,0.38136252105425744,0.44577123469125257,42.527962398998554,85.27233151785511,0.9016225086312696
codegeex4,int_cmp,1.0,0.9761904761904762,0.29500151417614406,0.5208586470957111,0.459642957621767,0.27281595185936613,0.3968343425980002,0.4577297525642837,44.19116561251665,81.46658821151011,0.8555298968873973
yicoder9b,str_concat,1.0,0.9761904761904762,0.28054825498764063,0.5115003860032015,0.4190292669354894,0.2567415743367987,0.4011435758205676,0.4177873003325753,42.47926589039504,117.76328714170643,1.2443966361876686
codeqwen,str_interp,1.0,0.9523809523809523,0.24021998404303482,0.5202421351651618,0.37988485247373366,0.2045768332288,0.34522202282925435,0.37423520069803035,40.000157565021844,122.60339418127911,1.3358570633415354
codegemma7b,int_cmp,1.0,0.9523809523809523,0.31545226985206215,0.5150848381445063,0.4824423500939573,0.29128376052831856,0.42381349520989614,0.4815986792923034,44.6618585356494,70.99988879591731,0.7438141301061469
codeqwen,str_concat,1.0,0.9523809523809523,0.2943857577803456,0.5235142834944556,0.4255660101012605,0.2767832827150597,0.40423176806753813,0.4251658500372349,42.69855022680982,123.875553272415,1.3114404654244647
magicoder7b,logic_ops,1.0,0.9523809523809523,0.4527714163236533,0.6935168430164219,0.5208445224947844,0.3405124261339689,0.5132900847136664,0.5201230217732837,53.73801969697508,88.00322189549567,0.8926930581499222
