model,task,success,valid
deepseekcoder7b,bit_ops,0.5952380952380952,0.2857142857142857
magicoder7b,logic_ops,0.5,0.3333333333333333
dolphincoder7b,logic_ops,0.5238095238095238,0.30952380952380953
magicoder7b,dir_make,0.5238095238095238,0.30952380952380953
granitecode3b,logic_ops,0.6428571428571429,0.21428571428571427
qwen2.5coder7b,file_create,0.5,0.2619047619047619
yicoder9b,logic_ops,0.35714285714285715,0.35714285714285715
qwen2.5coder2b,str_interp,0.40476190476190477,0.2857142857142857
granitecode8b,bit_ops,0.5952380952380952,0.19047619047619047
codellama7b,bit_ops,0.5714285714285714,0.19047619047619047
deepseekcoder7b,logic_ops,0.4523809523809524,0.23809523809523808
qwen2.5coder7b,str_cmp,0.40476190476190477,0.2619047619047619
granitecode8b,int_factors,0.7380952380952381,0.14285714285714285
codellama7b,str_prepend,0.47619047619047616,0.21428571428571427
qwen2.5coder2b,file_create,0.5238095238095238,0.19047619047619047
codellama7b,str_concat,0.38095238095238093,0.23809523809523808
deepseekcoder7b,str_cmp,0.47619047619047616,0.19047619047619047
granitecode3b,str_cmp,0.6190476190476191,0.14285714285714285
granitecode8b,str_substring,0.6190476190476191,0.14285714285714285
yicoder9b,dir_make,0.40476190476190477,0.21428571428571427
qwen2.5coder7b,dir_make,0.40476190476190477,0.21428571428571427
codeqwen,bit_ops,0.4523809523809524,0.19047619047619047
dolphincoder7b,dir_make,0.5,0.16666666666666666
granitecode3b,int_factors,0.6904761904761905,0.11904761904761904
dolphincoder7b,file_create,0.42857142857142855,0.19047619047619047
codellama7b,str_cmp,0.38095238095238093,0.21428571428571427
codegemma7b,logic_ops,0.5714285714285714,0.14285714285714285
granitecode3b,str_substring,0.5714285714285714,0.14285714285714285
qwen2.5coder7b,str_match,0.3333333333333333,0.23809523809523808
dolphincoder7b,bit_ops,0.47619047619047616,0.16666666666666666
stablecode,logic_ops,0.8333333333333334,0.09523809523809523
qwen2.5coder2b,str_match,0.47619047619047616,0.16666666666666666
codellama7b,logic_ops,0.5476190476190477,0.14285714285714285
codellama7b,int_factors,0.5476190476190477,0.14285714285714285
qwen2.5coder2b,str_cmp,0.5476190476190477,0.14285714285714285
magicoder7b,str_substring,0.40476190476190477,0.19047619047619047
qwen2.5coder7b,int_factors,0.35714285714285715,0.21428571428571427
codegemma7b,dir_make,0.5238095238095238,0.14285714285714285
granitecode8b,logic_ops,0.5238095238095238,0.14285714285714285
qwen2.5coder7b,str_substring,0.5,0.14285714285714285
codegemma7b,str_substring,0.5,0.14285714285714285
qwen2.5coder2b,file_rename,0.42857142857142855,0.16666666666666666
